,date,Malicious_IP,customers,mitigation
0,2025-08-27 08:37:01,139.87.112.128,Customer_63,mitigation_2890
1,2025-07-14 14:16:51,114.43.150.211,Customer_10,mitigation_1438
2,2025-07-14 14:16:33,117.158.103.107,Customer_10,mitigation_1438
3,2025-07-14 14:14:02,207.90.244.20,Customer_10,mitigation_1438
4,2025-07-14 14:17:24,207.90.244.25,Customer_10,mitigation_1438
5,2025-07-29 09:01:28,46.186.134.33,Customer_10,mitigation_1951
6,2025-07-29 09:42:40,117.26.110.203,Customer_10,mitigation_1951
7,2025-07-29 09:58:40,178.161.104.92,Customer_10,mitigation_1951
8,2025-07-29 09:11:05,216.126.86.40,Customer_10,mitigation_1953
9,2025-08-05 08:30:04,2.16.130.65,Customer_10,mitigation_2179
10,2025-08-05 08:27:05,23.61.199.64,Customer_10,mitigation_2179
11,2025-08-05 08:28:16,95.100.173.67,Customer_10,mitigation_2179
12,2025-08-05 08:37:42,95.100.174.66,Customer_10,mitigation_2179
13,2025-08-05 08:26:37,183.196.109.104,Customer_10,mitigation_2179
14,2025-08-05 08:26:49,184.85.248.65,Customer_10,mitigation_2179
15,2025-08-05 08:28:54,193.108.91.254,Customer_10,mitigation_2179
16,2025-08-12 08:06:24,2.16.130.65,Customer_10,mitigation_2398
17,2025-08-12 08:02:07,23.61.199.64,Customer_10,mitigation_2398
18,2025-08-12 08:02:21,95.100.173.67,Customer_10,mitigation_2398
19,2025-08-12 08:03:27,95.100.174.66,Customer_10,mitigation_2398
20,2025-08-12 08:10:59,104.195.12.36,Customer_10,mitigation_2398
21,2025-08-12 08:03:53,184.85.248.65,Customer_10,mitigation_2398
22,2025-08-12 08:04:44,193.108.91.254,Customer_10,mitigation_2398
23,2025-08-12 08:44:01,2.16.130.65,Customer_10,mitigation_2401
24,2025-08-12 08:44:33,23.61.199.64,Customer_10,mitigation_2401
25,2025-08-12 08:43:51,95.100.173.67,Customer_10,mitigation_2401
26,2025-08-12 08:43:53,95.100.174.66,Customer_10,mitigation_2401
27,2025-08-12 08:43:58,184.85.248.65,Customer_10,mitigation_2401
28,2025-08-12 08:46:47,190.55.22.174,Customer_10,mitigation_2401
29,2025-08-12 08:43:18,193.108.91.254,Customer_10,mitigation_2401
30,2025-08-12 15:13:38,161.35.64.124,Customer_10,mitigation_2410
31,2025-08-12 14:29:59,180.103.42.190,Customer_10,mitigation_2410
32,2025-08-14 20:59:03,4.2.2.2,Customer_10,mitigation_2489
33,2025-08-14 20:59:02,4.2.2.3,Customer_10,mitigation_2489
34,2025-08-14 21:00:31,114.114.114.114,Customer_10,mitigation_2489
35,2025-08-19 08:31:37,2.16.130.65,Customer_10,mitigation_2596
36,2025-08-19 08:37:48,23.61.199.64,Customer_10,mitigation_2596
37,2025-08-19 08:31:58,94.72.113.2,Customer_10,mitigation_2596
38,2025-08-19 08:47:27,95.100.173.67,Customer_10,mitigation_2596
39,2025-08-19 08:44:16,95.100.174.66,Customer_10,mitigation_2596
40,2025-08-19 08:31:56,162.243.53.14,Customer_10,mitigation_2596
41,2025-08-19 08:31:02,184.85.248.65,Customer_10,mitigation_2596
42,2025-08-19 08:39:32,193.108.91.254,Customer_10,mitigation_2596
43,2025-08-19 23:58:25,60.212.227.240,Customer_10,mitigation_2621
44,2025-08-20 00:29:33,45.234.232.60,Customer_10,mitigation_2622
45,2025-08-20 01:54:33,58.11.20.40,Customer_10,mitigation_2622
46,2025-08-20 02:27:42,89.67.73.111,Customer_10,mitigation_2622
47,2025-08-20 01:51:25,101.108.1.212,Customer_10,mitigation_2622
48,2025-08-20 03:10:13,115.63.33.49,Customer_10,mitigation_2622
49,2025-08-20 02:03:47,183.23.133.50,Customer_10,mitigation_2622
50,2025-08-20 03:26:42,183.23.137.208,Customer_10,mitigation_2622
51,2025-08-20 01:32:34,39.80.21.28,Customer_10,mitigation_2625
52,2025-08-22 06:50:28,2.16.130.65,Customer_10,mitigation_2714
53,2025-08-22 06:42:21,23.61.199.64,Customer_10,mitigation_2714
54,2025-08-22 06:55:43,95.100.173.67,Customer_10,mitigation_2714
55,2025-08-22 06:37:57,95.100.174.66,Customer_10,mitigation_2714
56,2025-08-22 06:44:56,184.85.248.65,Customer_10,mitigation_2714
57,2025-08-22 06:47:18,193.108.91.254,Customer_10,mitigation_2714
58,2025-08-22 07:00:04,2.16.130.65,Customer_10,mitigation_2715
59,2025-08-22 06:59:56,23.61.199.64,Customer_10,mitigation_2715
60,2025-08-22 07:00:32,95.100.173.67,Customer_10,mitigation_2715
61,2025-08-22 07:00:41,95.100.174.66,Customer_10,mitigation_2715
62,2025-08-22 07:01:03,184.85.248.65,Customer_10,mitigation_2715
63,2025-08-22 07:02:31,193.108.91.254,Customer_10,mitigation_2715
64,2025-08-22 10:56:19,95.100.174.66,Customer_10,mitigation_2718
65,2025-08-25 06:14:52,2.16.130.65,Customer_10,mitigation_2815
66,2025-08-25 06:12:55,23.61.199.64,Customer_10,mitigation_2815
67,2025-08-25 06:18:19,95.100.173.67,Customer_10,mitigation_2815
68,2025-08-25 06:19:46,95.100.174.66,Customer_10,mitigation_2815
69,2025-08-25 06:11:20,184.85.248.65,Customer_10,mitigation_2815
70,2025-08-25 06:14:37,193.108.91.254,Customer_10,mitigation_2815
71,2025-08-25 11:25:46,2.16.130.65,Customer_10,mitigation_2821
